"filename", "language", "Dart", "JSON", "PlantUML", "comment", "blank", "total"
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/events/reminderBloc.dart", "Dart", 23, 0, 0, 2, 3, 28
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/events/reminderEvent.dart", "Dart", 20, 0, 0, 4, 9, 33
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/json/medicine.json", "JSON", 0, 12227, 0, 0, 0, 12227
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/lang/en.json", "JSON", 0, 140, 0, 0, 0, 140
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/lang/zh.json", "JSON", 0, 146, 0, 0, 0, 146
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/localization/appLocalization.dart", "Dart", 38, 0, 0, 11, 14, 63
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/localization/language.dart", "Dart", 12, 0, 0, 1, 4, 17
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/localization/languageConstants.dart", "Dart", 25, 0, 0, 2, 6, 33
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/main.dart", "Dart", 68, 0, 0, 12, 8, 88
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/models/alarmModel.dart", "Dart", 39, 0, 0, 1, 5, 45
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/models/bodyModel.dart", "Dart", 32, 0, 0, 1, 5, 38
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/models/bpDBModel.dart", "Dart", 32, 0, 0, 1, 5, 38
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/models/bsDBModel.dart", "Dart", 26, 0, 0, 1, 5, 32
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/models/settingsModel.dart", "Dart", 0, 0, 0, 43, 11, 54
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/models/sleepDBModel.dart", "Dart", 26, 0, 0, 1, 5, 32
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/models/stepsDBModel.dart", "Dart", 23, 0, 0, 1, 5, 29
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/request/flutterTencentOCR.dart", "Dart", 130, 0, 0, 12, 32, 174
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/alarmScreen.dart", "Dart", 409, 0, 0, 15, 16, 440
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/bmiScreen.dart", "Dart", 523, 0, 0, 2, 4, 529
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/bpScreen.dart", "Dart", 585, 0, 0, 6, 9, 600
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/bsScreen.dart", "Dart", 439, 0, 0, 2, 9, 450
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/exportPDF.dart", "Dart", 431, 0, 0, 51, 29, 511
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/medicineListScreen.dart", "Dart", 74, 0, 0, 0, 5, 79
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/ocrScreen.dart", "Dart", 385, 0, 0, 3, 17, 405
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/personalSettingScreen.dart", "Dart", 532, 0, 0, 12, 7, 551
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/sleepScreen.dart", "Dart", 437, 0, 0, 2, 9, 448
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/FunctionScreen/stepsScreen.dart", "Dart", 364, 0, 0, 6, 9, 379
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/ResultScreen/bmiResultScreen.dart", "Dart", 92, 0, 0, 16, 8, 116
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/ResultScreen/bpResultScreen.dart", "Dart", 173, 0, 0, 1, 6, 180
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/ResultScreen/bsResultScreen.dart", "Dart", 115, 0, 0, 1, 6, 122
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/ResultScreen/sleepResultScreen.dart", "Dart", 93, 0, 0, 1, 6, 100
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/ResultScreen/stepsResultScreen.dart", "Dart", 80, 0, 0, 1, 7, 88
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/aboutScreen.dart", "Dart", 111, 0, 0, 3, 3, 117
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/historyScreen.dart", "Dart", 309, 0, 0, 7, 23, 339
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/homeScreen.dart", "Dart", 73, 0, 0, 3, 6, 82
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/languageView.dart", "Dart", 61, 0, 0, 1, 7, 69
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/mainScreen.dart", "Dart", 54, 0, 0, 70, 16, 140
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/recordScreen.dart", "Dart", 99, 0, 0, 2, 6, 107
"/Users/yixiao/Documents/Flutter_Projects/iOS/bp_notepad/lib/screens/reminderScreen.dart", "Dart", 195, 0, 0, 4, 12, 211
"Total", "-", 8942, 12513, 513, 525, 647, 23140
